model_1hp, prepare, model_2hp, total
0.08314172201789916, 0.16073175508063287, 0.0131661620689556, 0.2205066680908203
0.016866878024302423, 0.021517493994906545, 0.008635289035737514, 0.154494047164917
0.016725779976695776, 0.021292989957146347, 0.00855146802496165, 0.07553911209106445
0.016732546035200357, 0.021368284011259675, 0.008574199979193509, 0.07613921165466309
0.016751490999013186, 0.021577597013674676, 0.008573438972234726, 0.07471132278442383
0.016689524985849857, 0.021289497963152826, 0.008519257069565356, 0.0750582218170166
0.016706901020370424, 0.02099933789577335, 0.008536158944480121, 0.07440304756164551
0.016743595013394952, 0.0209204840939492, 0.00855259201489389, 0.07469606399536133
0.016741347033530474, 0.021474841982126236, 0.008611213997937739, 0.07598137855529785
0.016839785035699606, 0.021030516945756972, 0.008516783942468464, 0.07482600212097168
0.016713658929802477, 0.021281303954310715, 0.00852221401873976, 0.07442164421081543
0.016759169986471534, 0.0210090191103518, 0.008559435023926198, 0.07473397254943848
0.016875777044333518, 0.0214531640522182, 0.00849473592825234, 0.0962376594543457
0.016999225015752017, 0.022157232044264674, 0.0085185730131343, 0.07562613487243652
0.016734370030462742, 0.021028541959822178, 0.008551331935450435, 0.07539081573486328
0.01677458209451288, 0.020925158984027803, 0.00856284995097667, 0.0754096508026123
0.016653873026371002, 0.021413317997939885, 0.008531737024895847, 0.09354066848754883
0.016699061961844563, 0.02130577596835792, 0.008511948981322348, 0.13492250442504883
0.01673943398054689, 0.021000050008296967, 0.008534408058039844, 0.07435846328735352
0.01689076703041792, 0.02111003897152841, 0.008558706962503493, 0.07635688781738281
0.016944287926889956, 0.021183391101658344, 0.008635045029222965, 0.07384347915649414
0.016741491039283574, 0.02095969207584858, 0.008551269886083901, 0.07465291023254395
0.016700943000614643, 0.021016570972278714, 0.008587780990637839, 0.07444357872009277
0.01675107202026993, 0.02096693799830973, 0.008585622999817133, 0.07481575012207031
0.016920071910135448, 0.021242453949525952, 0.008615989936515689, 0.07897067070007324
0.016739665996283293, 0.020929781952872872, 0.008598005981184542, 0.07442474365234375
0.016730775008909404, 0.020880411029793322, 0.00854637403972447, 0.07467508316040039
0.016794746974483132, 0.020965592935681343, 0.008569624973461032, 0.08037114143371582
0.01716850500088185, 0.022481817053630948, 0.008668245049193501, 0.07999205589294434
0.016772842034697533, 0.021024300949648023, 0.00855845503974706, 0.07454872131347656
0.016744069987908006, 0.02097124489955604, 0.008552033919841051, 0.07464170455932617
0.016731760930269957, 0.020971504040062428, 0.008547830977477133, 0.07510662078857422
0.01693621091544628, 0.02117873798124492, 0.008617618004791439, 0.13911962509155273
0.016739960061386228, 0.02098412998020649, 0.00855809694621712, 0.0744016170501709
0.016770016052760184, 0.020974781014956534, 0.008590233977884054, 0.0754234790802002
0.01674161502160132, 0.021028154995292425, 0.008643241948448122, 0.07542181015014648
0.016894166939891875, 0.021154774934984744, 0.008526501012966037, 0.07642769813537598
0.016770109068602324, 0.021013289922848344, 0.008573209051974118, 0.07516646385192871
0.016778598073869944, 0.020972671918570995, 0.008579293033108115, 0.07525229454040527
0.016633744002319872, 0.020837715012021363, 0.008533135987818241, 0.07624483108520508
0.016957813990302384, 0.02117000101134181, 0.00861927296500653, 0.07541632652282715
0.016716474085114896, 0.020891056046821177, 0.008551853010430932, 0.07448649406433105
0.01671948202420026, 0.020931685925461352, 0.008563647978007793, 0.07400059700012207
0.016713076969608665, 0.021089902031235397, 0.008600000059232116, 0.07543277740478516
0.016996537917293608, 0.02132219891063869, 0.00862046703696251, 0.07606172561645508
0.016757595003582537, 0.020963975111953914, 0.00858101702760905, 0.07494044303894043
0.016736018005758524, 0.020966662908904254, 0.008563062991015613, 0.07488226890563965
0.01674351398833096, 0.021020980086177588, 0.00855556398164481, 0.07714986801147461
0.016918530105613172, 0.02114307403098792, 0.00864713208284229, 0.07431960105895996
0.01672214490827173, 0.020847734063863754, 0.008561569033190608, 0.07503271102905273
0.016703455010429025, 0.020909716025926173, 0.00856017298065126, 0.0757286548614502
0.016730173956602812, 0.020945191965438426, 0.008564641932025552, 0.07653379440307617
0.016943654976785183, 0.020545325940474868, 0.008641764987260103, 0.1377089023590088
0.016725603956729174, 0.020409014890901744, 0.008571736048907042, 0.07396411895751953
0.01666311698500067, 0.020284670987166464, 0.008565780008211732, 0.07419252395629883
0.01673761196434498, 0.020430027972906828, 0.008544279960915446, 0.07359623908996582
0.016802352969534695, 0.021042071981355548, 0.008589773904532194, 0.07505130767822266
0.016786233987659216, 0.021113855997100472, 0.008577182074077427, 0.0747077465057373
0.016718346043489873, 0.020926838042214513, 0.008561593946069479, 0.07385563850402832
0.01674546708818525, 0.020926716970279813, 0.008555733948014677, 0.07862210273742676
0.016969360993243754, 0.021196570014581084, 0.008630798081867397, 0.07609105110168457
0.016748002963140607, 0.021069569978863, 0.00856546894647181, 0.07454442977905273
0.016727308044210076, 0.021073707030154765, 0.008548587909899652, 0.07520246505737305
0.01677075494080782, 0.021430540014989674, 0.008536061039194465, 0.07911396026611328
0.016842102981172502, 0.021175410016439855, 0.008626422029919922, 0.0758359432220459
0.0167509070597589, 0.021141655975952744, 0.008653437020257115, 0.07472562789916992
0.016756283002905548, 0.021554667968302965, 0.008556922082789242, 0.07548117637634277
0.016731471987441182, 0.021034123026765883, 0.008580488967709243, 0.13987231254577637
0.01686854800209403, 0.021278622094541788, 0.008569836034439504, 0.07364177703857422
0.016807093052193522, 0.021033403929322958, 0.008544999058358371, 0.07514071464538574
0.016745021101087332, 0.021074887015856802, 0.00855728704482317, 0.07518291473388672
0.01677335100248456, 0.021036603022366762, 0.008619903004728258, 0.07427501678466797
0.01691857201512903, 0.021319243940524757, 0.008610337972640991, 0.07553410530090332
0.01677135901991278, 0.020964202005416155, 0.008584122988395393, 0.07471728324890137
0.016732832067646086, 0.020905461977235973, 0.008553872001357377, 0.07392239570617676
0.016745542990975082, 0.020970919984392822, 0.00856672110967338, 0.0766761302947998
0.016850556014105678, 0.02115667494945228, 0.008578761015087366, 0.07493185997009277
0.01684555201791227, 0.021095931995660067, 0.00855886097997427, 0.07416224479675293
0.01675780408550054, 0.020931062987074256, 0.008566980948671699, 0.07494688034057617
0.0167502200929448, 0.020978357060812414, 0.008551215985789895, 0.07480907440185547
0.016998988925479352, 0.021321831038221717, 0.008585197036154568, 0.0758507251739502
0.016670185956172645, 0.020789721980690956, 0.008571829064749181, 0.07467246055603027
0.01672825892455876, 0.020884681027382612, 0.008582268957979977, 0.0760345458984375
0.016735648037865758, 0.020881757023744285, 0.00856480491347611, 0.07413411140441895
0.01674909796565771, 0.02117618208285421, 0.008733951952308416, 0.08399295806884766
0.016710722004063427, 0.02086064196191728, 0.008514415007084608, 0.07533836364746094
0.016780300997197628, 0.020930940052494407, 0.008576776017434895, 0.07565760612487793
0.016701727057807148, 0.02103446307592094, 0.008552409941330552, 0.14173436164855957
0.016925328061915934, 0.021205100929364562, 0.00860132195521146, 0.07464480400085449
0.01673767901957035, 0.020988525939173996, 0.008562947041355073, 0.07424521446228027
0.01679005695041269, 0.021006405004300177, 0.008560567977838218, 0.07389569282531738
0.01678762200754136, 0.021202326053753495, 0.008661141968332231, 0.07588338851928711
0.01673094101715833, 0.021069656941108406, 0.008592434925958514, 0.07456374168395996
0.016655493061989546, 0.02070459898095578, 0.008558235946111381, 0.07321810722351074
0.01677668304182589, 0.021002561901696026, 0.008556391927413642, 0.07460737228393555
0.01674393389839679, 0.0209012950072065, 0.008549046004191041, 0.07428932189941406
0.016654548002406955, 0.02117669105064124, 0.008581503992900252, 0.07496213912963867
0.016848913044668734, 0.02127563103567809, 0.008566519943997264, 0.07486271858215332
0.016680612927302718, 0.020345699973404408, 0.008563610026612878, 0.07750201225280762
0.01668219396378845, 0.020377756911329925, 0.008558166911825538, 0.07436418533325195